pbTrophies,kingLevel,cardLevels,warDayWins,winRate,maxChallengeWins,opponentTrophies,opponentKingLevel,maxOpponentChallengeWins,opponentCardLevels,opponentWinRate,winning
5146,10,8.421052632,35,0.549556809,8,4331,10,10,8,0.524214104,1
5306,12,10.06315789,23,0.528297474,11,5399,11,8,9.180851064,0.580145278,1
5019,10,7.408602151,14,0.523109244,12,3986,9,1,7.747126437,0.542130366,1
5081,11,7.891304348,47,0.534855769,9,5050,10,9,8.968421053,0.527020327,1
5265,11,7.778947368,26,0.574407195,12,5016,12,12,9.866666667,0.52975,1
5071,11,8.673913043,26,0.498002663,12,4638,10,6,8.652173913,0.470314319,1
5028,10,7.967391304,30,0.540929928,5,4830,11,8,8.882978723,0.50835407,0
4858,10,7.838709677,2,0.528592023,10,3966,8,0,6.202531646,0.665615142,1
4888,11,9.095744681,15,0.453923541,10,4281,9,2,7.569767442,0.488676996,1
5399,12,8.161290323,26,0.520217465,10,4186,11,10,8.715789474,0.508379888,1
4983,10,7.608695652,15,0.544432548,10,4836,10,10,7.852272727,0.519354839,0
4686,11,7.891304348,25,0.525056948,10,3963,9,3,6.835294118,0.472,1
4697,10,8.534090909,13,0.481900452,3,4760,10,2,8.322580645,0.541284404,1
4720,10,8.577777778,20,0.506072874,5,5246,11,10,7.946808511,0.527123483,0
4621,10,8.065217391,13,0.525764192,10,5065,11,5,8.734042553,0.504109589,1
4670,10,8.688888889,20,0.441240479,6,4679,9,3,6.975903614,0.60619469,0
4804,11,9.20212766,14,0.456367561,6,4938,11,9,9.397849462,0.507534984,0
4579,9,7.638554217,1,0.512064343,0,4533,9,5,7.264367816,0.524737631,0
4988,10,8.022222222,12,0.42822186,5,4038,10,7,7.825581395,0.623106061,0
6145,13,10.62765957,180,0.512500498,13,5772,13,13,11.21276596,0.601874163,1
6133,12,9.873684211,120,0.492818759,8,5707,13,10,10.64210526,0.466938406,1
5896,12,10.09473684,131,0.496193402,9,5905,12,11,9.659574468,0.490727817,1
6004,12,9.968421053,139,0.560693642,11,6251,13,12,10.41052632,0.531355807,0
5675,12,9.894736842,97,0.484887793,8,5021,10,6,6.967741935,0.618589744,1
5901,12,10.04210526,105,0.509689097,10,5713,13,11,8.70212766,0.563199238,0
5813,12,9.978723404,80,0.494026704,12,5301,12,12,10.4787234,0.454765402,0
5522,13,9.914893617,129,0.517761783,11,5902,13,11,11.42553191,0.513823451,1
5653,12,9.680851064,128,0.501622323,10,5251,11,6,8.319148936,0.526242452,1
5670,11,9.585106383,113,0.489604876,9,5921,13,12,11.81052632,0.560442478,0
5538,12,10.32978723,96,0.469930948,11,4615,10,8,9.065217391,0.384556281,1
5301,12,10.4787234,50,0.454765402,12,5813,12,12,9.978723404,0.494026704,1
5420,12,9.680851064,49,0.511896307,10,5000,10,6,8.542553191,0.486446886,1
5310,11,8.838709677,51,0.477640709,5,5292,12,10,10.07446809,0.576687117,0
5311,10,8.936170213,32,0.508844097,6,5012,10,5,7.744444444,0.485528647,1
5648,12,10.02105263,103,0.719365427,12,5977,12,15,10.76842105,0.562261684,0
5113,11,9.957446809,54,0.525829798,11,5932,12,11,10.68421053,0.65387931,0
5772,13,11.21276596,174,0.601874163,13,6145,13,13,10.62765957,0.512500498,0
5011,10,8,5,0.484623542,6,5388,10,8,8.414893617,0.533034714,0
4662,9,7.666666667,1,0.514326648,5,5801,13,11,10.57894737,0.580787781,0
4615,10,9.065217391,9,0.384556281,8,5420,12,10,9.680851064,0.511896307,0
5784,13,10.15957447,107,0.577545383,12,5378,12,12,10.33684211,0.567272727,0
5848,13,10.34042553,131,0.529435203,20,5061,11,10,9.301075269,0.492054942,1
7462,13,11.17894737,161,0.618024032,20,5616,12,12,8.463157895,0.619847004,0
7014,13,10.87368421,243,0.587204349,12,6074,13,10,11,0.524196418,1
7012,13,9.778947368,138,0.636487335,17,5987,12,9,8.531914894,0.56349953,1
6506,13,11.01052632,150,0.568357696,12,5627,12,9,9.694736842,0.477079796,1
